,speaker,text,role,date,title
0,#taratora,"И ты еще, мошенник, смеешь мне указывать! Да знаешь ли ты, что я дух из тебя вымучу   палками? Твое дело, бездельник, чесать мне голову!",parent,1788,krylov-prokazniki
1,#taratora,То есть чего-нибудь хорошенького.,parent,1788,krylov-prokazniki
2,#taratora,"Как, бездельник! да разве не для того он сюда вхож, чтоб вас лечить? неблагодарные   канальи! и разве не лечит он вас?.. В нем нет ничего хорошего!",parent,1788,krylov-prokazniki
3,#taratora,"Да его ль вина, бестия, что вы все здесь ходите, как слоны, и ни одного из вас чорт   не придавит?.. Чеши же, говорю!",parent,1788,krylov-prokazniki
4,#taratora,"Я окончала!.. Как я рада! Элегия эта беспримерна... Ах, дорогой Ланцетин, в ней-то ты   увидишь мои чувства!",parent,1788,krylov-prokazniki
5,#taratora,"Так, плут! в счастливую минуту сделал ты со мной свое дурачество; я бы дала тебе себя   знать!.. Ну! что ж ты будешь делать с моею головою?",parent,1788,krylov-prokazniki
6,#taratora,"Поскорее ж! Я ведь тебе сказывала, что здесь свадьба, да и лекарь именинник.",parent,1788,krylov-prokazniki
7,#taratora,"Как я рада, что все дописала!.. Постой же, я встану и возьму в бюро белой бумаги:   надобно заставить это набело переписать... весь город будет восхищаться!",parent,1788,krylov-prokazniki
8,#taratora,"Стихи такие, что ни мужу не написать; однако дам их ему прочесть: что-то он скажет?   Где ж они?",parent,1788,krylov-prokazniki
9,#taratora,"Ванька! да не видал ли ты моих стихов, что я написала?",parent,1788,krylov-prokazniki
10,#taratora,"Что? где они, плут?",parent,1788,krylov-prokazniki
11,#taratora,"Ну, что ты со мною, бездельник, сделал! Но я дам тебе знать, как должно почитать   меня!",parent,1788,krylov-prokazniki
12,#taratora,"Вот я тебя, мошенник!",parent,1788,krylov-prokazniki
13,#taratora,"Помогите мне, господин Тянислов, управиться с этою бестиею; часа два прыгаю вкруг   него и не достану до его плутовской рожи!",parent,1788,krylov-prokazniki
14,#taratora,"Я тебе говорю, мошенник; дай мне свою плутовскую рожу!",parent,1788,krylov-prokazniki
15,#taratora,"Зажми рот, негодница!",parent,1788,krylov-prokazniki
16,#taratora,"Что ж ты ворчишь? Вон!.. Да помогите мне, сударь!",parent,1788,krylov-prokazniki
17,#taratora,"Не стыдно ли, сударь, что ты не хотел вступиться за меня против этого бездельника и   забыл ласку моего мужа и мою. Ежели вперед будешь столь неблагодарен, так я тебя велю   вытолкать взашей с тем, чтобы никогда на двор не впускать.",parent,1788,krylov-prokazniki
18,#taratora,"А ты разве не видал, что я делала?",parent,1788,krylov-prokazniki
19,#taratora,Изорвал мои стихи на завивные бумажки!,parent,1788,krylov-prokazniki
20,#taratora,"Эти стихи с ума у меня нейдут... Но как быть, оставим это! Был ли же ты хотя где   нибудь? нет ли вестей каких?",parent,1788,krylov-prokazniki
21,#taratora,Так лучше их совсем не говорить. Однако скажи: где ты был? что видел? что слышал?,parent,1788,krylov-prokazniki
22,#taratora,"Ну, оставь это. Еще что?",parent,1788,krylov-prokazniki
23,#taratora,"Ну полно, еще что слышал?",parent,1788,krylov-prokazniki
24,#taratora,"Ах, батька мой, да это одно и то же; и вот уже девять лет, как ты мне всё только   такие вести приносишь.",parent,1788,krylov-prokazniki
25,#taratora,"Так, сударь, мне твоя робость уже не в первый раз досаждает. Ну, что ж такое?",parent,1788,krylov-prokazniki
26,#taratora,"Какое поношение! Что ж ты, сударь, слушая это, молчал, вытараща глаза, по твоему   обыкновению?",parent,1788,krylov-prokazniki
27,#taratora,"Чтоб тебе околеть и с тем, кто его выдумал. Ты сущий оригинал, сударь!",parent,1788,krylov-prokazniki
28,#taratora,"Поди вон, ты недостоин моего знакомства! За приятелей своих не так вступаются: ты бы   должен был сказать, что этот лекарь знаком со мною для моих частых припадков, а   особливо лечит моих маленьких детей; ты бы должен был сказать, что они, по милости   его, еще здоровы и что без него этих маленьких ребяточек, может быть, на свете бы не   было.",parent,1788,krylov-prokazniki
29,#taratora,"О, так он много может! Пойду же и оденусь. Как я люблю одеваться на свадьбе, а   особливо на своей. Ах! это удовольствие я только один раз в жизни имела.",parent,1788,krylov-prokazniki
30,#priyata,"Что сделалось твоему дядюшке, Милон? Он опрометью побежал с лестницы и не хотел   взглянуть на меня: не сердит ли он?",children,1788,krylov-prokazniki
31,#priyata,"Ты смущаешься! Не скрывайся более: я вижу, что мы несчастливы.",children,1788,krylov-prokazniki
32,#priyata,"Нет, Милон, я не хочу, чтоб ты его огорчил, и соглашусь лучше быть сама несчастлива,   нежели навести на тебя его гнев. Вспомни, что ты у него под опекою и что ты его   наследник.",children,1788,krylov-prokazniki
33,#priyata,"Когда ты принес мне несчастливую весть, так и я тебе объявлю не слишком   счастливую.",children,1788,krylov-prokazniki
34,#priyata,"Теперь я была в своей комнате. Матушка, думая, что меня тут нет, была возле сей   комнаты с Ланцетиным; он ей представлял в женихи мне Тянислова, этого скучного   педанта, которого я, да и сама она терпеть не может, и который в здешнем доме служит   всем игрушкою.",children,1788,krylov-prokazniki
35,#priyata,"Матушка хотя и долго не соглашалась, но, наконец, обещала Ланцетину это сделать; а   если она этого захочет, то, конечно, батюшка за меня не вступится: он, кажется,   полагает всю свою славу в том, чтоб ей повиноваться.",children,1788,krylov-prokazniki
36,#priyata,"И ты можешь надеяться, что не останешься без награждения.",children,1788,krylov-prokazniki
37,#rifmokrad,"Я, сударь, с превеликим удовольствием вижу вас у себя.",parent,1788,krylov-prokazniki
38,#taratora,"Это чудно, мать моя, что вы родные: ты княжна, а он не князь.",parent,1788,krylov-prokazniki
39,#rifmokrad,"О! очень ясно, сударыня! Я знаю во многих фамилиях многих детей от одной матери и   разных отцов.",parent,1788,krylov-prokazniki
40,#rifmokrad,"Донести! Вы можете мне приказывать, сударь!",parent,1788,krylov-prokazniki
41,#taratora,"Вы не поверите, как мы всегда довольны, видя в нашем доме нового человека. В нынешнем   свете надобно уметь всем пользоваться. Поверите ли, что всякому новому знакомству я   ужасно рада. Разумный человек, — хотя еще мы их не видали, — приносит мне удовольствие   своим знанием, а дурак со своею глупостию меня не меньше забавляет.",parent,1788,krylov-prokazniki
42,#rifmokrad,"Я, жена, дочь и весь мой дом к вашим услугам, сударь; распоряжайте, повелевайте.",parent,1788,krylov-prokazniki
43,#taratora,"Муж мой удивительный в терпении человек: ему говори всякий, что хочет, он рад целые   сутки слушать и вечно не скажет — нет...",parent,1788,krylov-prokazniki
44,#rifmokrad,"Скажите, сударь, скажите все, что вам надобно.",parent,1788,krylov-prokazniki
45,#taratora,"Ему только стоит сказать один раз, и он вечно помнить будет: это такая крепкая   память, какой на свете нет. Я думаю, что у него и теперь тысячи две французских стихов   в голове.",parent,1788,krylov-prokazniki
46,#taratora,"Ха, ха, ха! это забавное приключение! Верите ли, что здесь во многих домах люди живут   только воровством.",parent,1788,krylov-prokazniki
47,#rifmokrad,"Да как же и не воровать людям, когда господа за ними не смотрят!",parent,1788,krylov-prokazniki
48,#taratora,"Верю, верю! Конечно, госпожа этого дому какая-нибудь ветреная кокетка, которой не   остается времени посмотреть в доме.",parent,1788,krylov-prokazniki
49,#rifmokrad,"А муж, может быть, кто-нибудь из писателей и занимается более стихами, нежели   домом.",parent,1788,krylov-prokazniki
50,#taratora,"Мне кажется, ничто не может быть глупее и смешнее женщины, которая не умеет своих   людей в узде держать. Вы не поверите, как меня все люди боятся, и мне кажется, в каком   бы доме я ни была, мне ничего не стоит привести их в страх.",parent,1788,krylov-prokazniki
