,title,author,date,text
0,Машенька,Афиногенов,1940," Heт, Маша, я разочарован в жизни. Ах, жизнь, как посмотришь с холодным вниманьем вокруг, такая пустая и глупая  шутка. Все это маска, Маша. Неплохо писал старик... «Как тяжело ходить среди людей и притворяться непогибшим. Все  пройдет, как с белых яблонь дым». Впрочем, это из другой оперы... Я тебе нравлюсь,  Маша? Это оттого, что никто меня не понимает. И никому меня не жаль. Я тоже. Мне дружбы мало, Маша. Мне нужна любовь! А ты? Кого любишь, того целуешь — вот зачем. Без поцелуев нет любви. Ты напишешь мне письмо. О том, как ты меня любишь. Ба! Сын мой! И ты здесь... Наш пострел везде поспел. Ах, вы и есть та самая Маша?  Здравствуйте. Говорят, вы похожи на маму. А ну, покажитесь. Да, да, есть сходство.  Ваша мама была красивой женщиной, я ее хорошо знал. Говорят, она снова вышла  замуж? Виктор, поручаю тебе заботу о Маше. Покажи ей Москву, своди в театры, будь ей хорошим  другом. Понял? Видишь, понял. А-а-а, вы и есть та самая Нина Александровна? Познакомьте нас, Маша. Я именно такой и  представлял вас по описанию Леонида. Он столько говорил мне о Машиной учительнице, что  я горел нетерпением познакомиться. Туманский. Это что — слова Леонида? Непрочь. Потому что не было вас. Мы еще увидимся, не прощаюсь. Как это вы ухитрились, Василий Иванович? Это хорошо, что больно. Мотя, бинтов и компресс! Пора забыть старые распри, Василий Иванович. Как-никак, Вера Михайловна искренно  любила вашего сына. Почему «даже»? Женщина она была красивая, и вполне естественно, что я... Дело прошлое, Василий Иванович, но там, где говорит любовь, молчит дружба. Такова жизнь, и не нам ее осуждать. Извольте. Переменим тему. Я человек покладистый. А-а! Милейший геолог! А я видел, видел! Нину Александровну. Браво, браво! Весьма, весьма! Я к ней Виктора определяю в  ученики. А у вас? Подкинь тридцаткy, старик. Зачем? За мое несостоявшееся пение. Сын, не хами! Такова жизнь, и не нам ее осуждать. И все одинаково приятны, несмотря на их утомительность. Но мои слова не комплимент. Я  искренно восхищен вашим методом... Что вы делаете вечером? Видела? Ты еще многого не понимаешь в жизни. До свиданья, не забудь про письмо. Обещала."
1,Машенька,Афиногенов,1940," Я говорю о последнем. Поедемте со мной. Здесь не место для объяснений. Я не привык объясняться  вполголоса... Не ловите на слове. Поедемте. Я сумею вас убедить. Тогда к вам хотя бы... Нина... Вы избегаете меня. Вы не отвечаете на письма. Неужели эта глупейшая история с  Виктором тому причиной? Ради бога, не делайте меня ответственным за поведение моего  сына. Он сам по себе, а я сам... А в чем тогда? Откуда вы это вывели? Это действительно странно. Что же вам не нравится в моих письмах? Вы не верите в искренность моих слов? Но почему, почему? Вы намерены оскорбить меня? В чем ваша правда? Неправда! Я люблю вас! Люблю впервые так глубоко и сильно. А-а! Вот оно! Вам наговорили обо мне! Но я же прошу вас стать моей женой. И все-таки я люблю вас по-настоящему. Старик, опять звонила Ирина Сергеевна. Просила передать, что она ждет твоего  звонка. Брось папиросу! С каких это пор, старик? Брось немедленно! Ну! Такова жизнь, и не нам ее осуждать. Замолчи! Каким? Здорово... Лелька Спирина от имени всех девчонок заявила, что со мной никто танцевать  не будет на вечеринке, если я не извинюсь. Раздули из мухи слона и радуются. Ты сама  во всем виновата, зачем тогда убежала. Ну, обиделась на меня — и молчи. Подумаешь,  Мария Стюарт, — посмеяться нельзя. Я не знал, что ты мямля, разревелась, как мамина  дочка с косичками, и скандал. Как будто до революции в институте воспитывалась... Тебе «пусть», а мне отец заявил, что ни копейки денег не даст, пока не помиримся.  Ботинок почистить не на что. А все оттого, что в Нинку твою влюбился и перед ней  выслуживается. А что, неправда? Они скоро поженятся. Сам вижу. Еще не было такого случая, чтобы женщина замуж не захотела. Это не я, это папаша мой говорит. Подумаешь, какой Сократ! Сомневается!"
2,Машенька,Афиногенов,1940," Мария! Вернись, я все прощу, упреки, подозренья... и как там дальше поется... Словом,  будем в новом году дружить по-новому. И если я начну хамить по-старому, ты меня  беспощадно крой. Твое здоровье, Мария!"
3,Машенька,Афиногенов,1940," Мы к вам пришли, Василий Иванович. Можно? Машиной мамы. Веры Михайловны. А главное, Вера Михайловна соглашается на включение Маши в концертную группу молодых  дарований для турне по Крыму и Кавказу. Дай, я скажу, почему неправильно... И все равно — пусть она даже не комсомолка — все равно отвечаем. Стараюсь им быть. Жизнь — сложная штука, Василий Иванович. Вера Михайловна... Вера Михайловна, вы просили меня помочь вам в этом трудном для вас положении. Если  моя помощь вам не нужна, удаляюсь. Я — друг Веры Михайловны и, смею думать, вaш. Поэтому я надеюсь быть беспристрастным.  Согласны вы меня выслушать? Советский закон на стороне матери. И это справедливый закон. Но тот же закон  предоставляет ребенку право выбора. И вы, Василий Иванович, должны помочь Маше  определить именно этот выбор, несмотря на ее стремление к вам. Поймите, Василий  Иванович, ребенок — это самое дорогое в жизни матери. Вам очень тяжело расставаться с  Машей, но вы не должны думать только о своих чувствах... Вера Михайловна, может быть, я лишний сейчас? Когда вы боролись за Машу... Вы уверены, что Маше лучше с вами, чем с дедом? Если вы  действительно думаете о ней. О ее будущем! Да-а. Я тоже — отец."
4,Мария,Бабель,1934," Сударыня, ты отстала... В Мариинке теперь очень нарядная публика. Сёстры Крымовы, ВаряМейендорф — все одеваются по журналу и живут превосходно, уверяю тебя. Очень есть. Ты отстала, Катюша... Господа пролетарии входят во вкус: они хотят, чтобыженщина была изящна. Ты думаешь, твоему Редько нравится, когда ты ходишь замарашкой?Ничуть не нравится... Господа пролетарии входят во вкус, Катюша. Сударыня, вы забываете — я с кавалером. Не скажи. У него свой вкус, темперамент... Какой же он рыжий, мой Дымшиц? Он шоколадный. У Дымшица шесть тысяч фунтов стерлингов. Ничего не на калеках... Вольно же было другим додуматься. У них артель, складчина.Инвалидов до сих пор не обыскивали, легче было провезти. И потом, мы бабы... Katy, мы простые бабы, вот как дворникова Агаша говорит, «трепатьсянадоело». Мы не умеем быть неприкаянными, правда же, не умеем... Рожу двух рыженьких. С евреями иначе нельзя, Катюша. Они страшно семейственны, жена у них советчица, наддетьми они трясутся... И потом — еврей всегда благодарен женщине, которая емупринадлежала. Поэтому — эта благородная черта — уважение к женщине. Ну вот — «откуда». Папа в Вильне корпусом командовал, там все евреи... У папы приятельраввин был... Они все философы — их раввины. Не исключено. Пальцем в небо, сударыня!.. Манеж будет продолжаться месяц, два месяца — с евреями такнадо. Ещё даже не решено, будут ли поцелуи... Разве это не ужасно? По-моему, большевики должны ухватиться за папину книгу. Им же выгодно, чтобы бранилистарую армию. Я разбираю семёновскую трагедию на две главы. Первая — исследование причин мятежа,вторая — описание бунта, истязаний, отсылки в рудники... История моя будет историяказармы, — не перечень народов, а судьба всех этих Сидоровых и Прошек, отданныхАракчееву, сосланных на двадцатилетнюю военную каторгу. Папа, ты должен прочитать Кате главу об императоре Павле. Если бы жил Толстой, оноценил бы, я уверена. Без познания прошлого — нет пути к будущему. Большевики исполняют работу Ивана Калиты —собирают русскую землю. Мы, кадровые офицеры, нужны им хотя бы для того, чтобырассказать о наших ошибках... Я одеваюсь... На улице белый день, а они в театр. Электричество экономят? Право, Исаак Маркович, вы слишком добры к нам. Виноват! Книжка подвигается. Я подошёл к царствованию Александра Павловича. Читается, как роман, Исаак Маркович. Я считаю, что это напоминает «Войну и мир», — там,где Толстой о солдатах говорит... Исаак Маркович, право, я рассержусь... Я готова. Сколько я вам должен, Исаак Маркович? Нет, серьёзно... Хороша у меня дочка, Исаак Маркович? Я вас ещё со старшей моей познакомлю — с Машей. Предупреждаю: Мария Николаевна у нас любимица, — и вот, пожалуйте, любимица в солдатыушла. Какие же это солдаты, Люка?.. В политотдел. Ты думаешь? Надеваю и сама удивляюсь — ещё не продано... Папа, изволь без меня принять лекарство. Ине давай ему работать, Катя. Мы домовничать будем с Катей. Вам нравится мой папка, Исаак Маркович? Правда, он у нас не такой, как у всех... Его никто не знает — одни мы... Где вы оставили князя Ипполита? Папочка, до свидания! Очень милый и достойный еврей. Катя, голубчик, откуда взяться такту?.. Людям позволяли жить на одной стороне улицы игородовыми гнали с другой. Так было в Киеве, на Бибиковском бульваре. Откуда тактувзяться? Тут другому надо удивляться — энергии, жизненной силе, сопротивляемости... Фатализм — вот это нам не чуждо. Распутин и немка Алиса, погубившая династию, — это намне чуждо. Ничего, кроме пользы, от чудесного этого народа, давшего Гейне, Спинозу,Христа... Что ж японцы... Японцы — великий народ, у них учиться и учиться. Я русский офицер, Катя, и спрашиваю: как это так, господа, с каких пор, спрашиваю я,правила военной игры стали чуждыми для нас?.. Мы мучили и унижали этих людей, онизащищались, они перешли в наступление и дерутся с находчивостью, с обдуманностью, сотчаянием, скажу я, — дерутся во имя идеала, Катя. Пусть растрясут Ванюху и Петруху, превосходно будет. И времени больше нет, Катя...Единственный русский император, Пётр, сказал: «Промедление времени смерти подобно». Вотзаповедь! И если это так, то должно же у вас, господа офицеры, хватить мужествапосмотреть на карту, узнать, с какого фланга вы обойдены, где и почему нанесено вампоражение... Держать глаза открытыми — моё право, и я не отказываюсь от него."
5,Мария,Бабель,1934," Зажгите свет. Я не скрываю — какое-то чувство симпатии вы мне внушаете, но надо этому чувствуукрепиться... Из армии приедет Маша, вы познакомитесь: в нашей семье без неё ничего неделается... Папа — тот хорошо относится к вам, но он беспомощный — вы видели... И потом,много ещё не решено; ваша жена?.. Я знаю — евреи привязаны к своим детям. Поэтому до поры до времени надо тихонько сидеть рядом со мной, вооружитьсятерпением... Я много выпила. Как это вы всё достаёте? С условием, что вы будете сидеть тихо. Вот вы и сюртук надели, — верно, для синагоги. Сюртук, Исачок, носили директорагимназии на выпускных актах и купцы на поминальных обедах. И потом — билеты. Никогда, мой друг, не покупайте билеты в первом ряду, — это делаютвыскочки, парвеню... У вас внутреннее благородство — это совсем другое. Вам даже имя ваше не идёт... Теперьможно дать объявление в газете, в «Известиях»... Я бы переменила на Алексей... Вамнравится — Алексей? Позовите мне извозчика... Позовите сию минуту! На мне всё порвано... Как я домой покажусь?.. Пошло... Исаак Маркович, вы ошиблись адресом. Я же вам говорю — у меня болят зубы, болят невыносимо. Достаньте мне зубных капель... Я страдаю."
6,Мария,Бабель,1934," Это непостижимо! Был уговор... Был уговор, что я приду в восемь. Теперь три четверти десятого... и ключа не оставил...Куда же он делся? Всё-таки они не джентльмены — эти люди... Правда, я выпью, озябла... Непостижимо всё-таки! Муковнина. Я схожу посмотрю, не вернулся ли он... Теперь за меня примется. Вы чего-то намешали в это пойло, Висковский. Дёшево, Висковский. Нет, уж я лучше за Дымшица... Знаем, как за вас выходить, нынче вы напились, завтра увас похмелье, потом вы уезжаете неведомо куда, потом вы стреляетесь... Нет, уж мы заДымшица. Она на границе теперь. Висковский, это неправда. Он — металлист. Узнаю Машу... Висковский, не смейте! Боже, какая злюка! Висковский, вы намешали что-то в эту водку... У меня голова кружится... Что вы говорите такое? Оставьте меня!"
7,Мария,Бабель,1934," Я спрашиваю у бога — у каждого из нас есть бог его души, — за что ты дал мне, дурному,себялюбивому человеку, таких детей — Машу, Люку?.."
8,Мария,Бабель,1934," Отпустите меня. Варвара. Ивановна. У Лаферма, на табачной фабрике. Я не ношу с собой. Я замужем... Отпустите меня. О ком вы говорите?.. Я не знаю. Что вы говорите? Какой склад?.. Меня заразили... Я больна. Я измучена... Отпустите меня. У меня голова кружится... Я упаду... Боже мой, зачем мне смотреть на вас?.. Я могу понять."
9,Мария,Бабель,1934," Кто вы? Что вам угодно? Где моя дочь? Где моя дочь, скажите? Мне всё можно сказать. Я смотрел смерти в глаза. Я солдат. Арестовали — за что? Это Чека? Надо ехать в Смольный, Катя. Надо ехать в Смольный, сейчас же. Простите, ваше имя-отчество?.. Почему вы не садитесь, Филипп Андреевич?.. Мы вас даже за хлопоты не поблагодарили...Надо угостить Филиппа Андреевича... Нянька, найдётся у нас, чем угостить? Дом нашоткрыт, Филипп Андреевич, милости просим по-простому, будем рады. Мы вас непременно сМарией Николаевной познакомим... Ничего, — сердце..."
